strategy,model,source,metric,status,task_count,first_task,last_task,pearson,paper_pearson,pearson_matches,kendall,paper_kendall,kendall_matches,score_path,accuracy_path
Finetune,ResNet18,CIFAR10,LEEP,ok,99,002,100,0.9254626478298759,0.925,True,0.9332096474953617,0.936,False,results/published/EXP2/result/Finetune/ResNet18/CIFAR10/metrics/LEEP.json,results/published/EXP2/result/Finetune/ResNet18/CIFAR10/test_ACC/LEEP_ACC.json
Finetune,ResNet18,CIFAR10,GLEEP,ok,99,002,100,0.954588233042375,0.955,True,0.9303236446093589,0.931,True,results/published/EXP2/result/Finetune/ResNet18/CIFAR10/metrics/GLEEP.json,results/published/EXP2/result/Finetune/ResNet18/CIFAR10/test_ACC/GLEEP_ACC.json
Finetune,ResNet18,ImageNet,LEEP,ok,99,002,100,0.7925110958519731,0.793,True,0.943104514533086,0.943,True,results/published/EXP2/result/Finetune/ResNet18/ImageNet/metrics/LEEP.json,results/published/EXP2/result/Finetune/ResNet18/ImageNet/test_ACC/LEEP_ACC.json
Finetune,ResNet18,ImageNet,GLEEP,ok,99,002,100,0.8073934926729683,0.807,True,0.9389816532673676,0.939,True,results/published/EXP2/result/Finetune/ResNet18/ImageNet/metrics/GLEEP.json,results/published/EXP2/result/Finetune/ResNet18/ImageNet/test_ACC/GLEEP_ACC.json
Finetune,ResNet34,CIFAR10,LEEP,ok,99,002,100,0.9021843804937831,0.902,True,0.9362886796957952,0.933,False,results/published/EXP2/result/Finetune/ResNet34/CIFAR10/metrics/LEEP.json,results/published/EXP2/result/Finetune/ResNet34/CIFAR10/test_ACC/LEEP_ACC.json
Finetune,ResNet34,CIFAR10,GLEEP,ok,99,002,100,0.9278110746191494,0.928,True,0.9313402259823622,0.93,True,results/published/EXP2/result/Finetune/ResNet34/CIFAR10/metrics/GLEEP.json,results/published/EXP2/result/Finetune/ResNet34/CIFAR10/test_ACC/GLEEP_ACC.json
Finetune,ResNet34,ImageNet,LEEP,ok,99,002,100,0.7899700589805521,0.79,True,0.9464028035456606,0.946,True,results/published/EXP2/result/Finetune/ResNet34/ImageNet/metrics/LEEP.json,results/published/EXP2/result/Finetune/ResNet34/ImageNet/test_ACC/LEEP_ACC.json
Finetune,ResNet34,ImageNet,GLEEP,ok,99,002,100,0.8095547397285145,0.809,True,0.9472273757988043,0.947,True,results/published/EXP2/result/Finetune/ResNet34/ImageNet/metrics/GLEEP.json,results/published/EXP2/result/Finetune/ResNet34/ImageNet/test_ACC/GLEEP_ACC.json
Retrain,ResNet18,CIFAR10,LEEP,ok,99,002,100,0.9443500112100832,0.944,True,0.9802102659245516,0.98,True,results/published/EXP2/result/Retrain/ResNet18/CIFAR10/metrics/LEEP.json,results/published/EXP2/result/Retrain/ResNet18/CIFAR10/test_ACC/LEEP_ACC.json
Retrain,ResNet18,CIFAR10,GLEEP,ok,99,002,100,0.9700018269821763,0.97,True,0.9760874046588333,0.976,True,results/published/EXP2/result/Retrain/ResNet18/CIFAR10/metrics/GLEEP.json,results/published/EXP2/result/Retrain/ResNet18/CIFAR10/test_ACC/GLEEP_ACC.json
Retrain,ResNet18,ImageNet,LEEP,ok,99,002,100,0.9219756224833822,0.922,True,0.9649556792413936,0.965,True,results/published/EXP2/result/Retrain/ResNet18/ImageNet/metrics/LEEP.json,results/published/EXP2/result/Retrain/ResNet18/ImageNet/test_ACC/LEEP_ACC.json
Retrain,ResNet18,ImageNet,GLEEP,ok,64,002,065,0.9594559345570475,0.959,True,0.9404761904761905,0.94,True,results/published/EXP2/result/Retrain/ResNet18/ImageNet/metrics/GLEEP.json,results/published/EXP2/result/Retrain/ResNet18/ImageNet/test_ACC/GLEEP_ACC.json
Retrain,ResNet34,CIFAR10,LEEP,ok,99,002,100,0.9355189294078958,0.936,True,0.9776311772382398,0.977,True,results/published/EXP2/result/Retrain/ResNet34/CIFAR10/metrics/LEEP.json,results/published/EXP2/result/Retrain/ResNet34/CIFAR10/test_ACC/LEEP_ACC.json
Retrain,ResNet34,CIFAR10,GLEEP,ok,99,002,100,0.9553213778395414,0.955,True,0.9726832337009733,0.973,True,results/published/EXP2/result/Retrain/ResNet34/CIFAR10/metrics/GLEEP.json,results/published/EXP2/result/Retrain/ResNet34/CIFAR10/test_ACC/GLEEP_ACC.json
Retrain,ResNet34,ImageNet,LEEP,ok,99,002,100,0.898568274726597,0.898,True,0.9715522572665429,0.971,True,results/published/EXP2/result/Retrain/ResNet34/ImageNet/metrics/LEEP.json,results/published/EXP2/result/Retrain/ResNet34/ImageNet/test_ACC/LEEP_ACC.json
Retrain,ResNet34,ImageNet,GLEEP,ok,99,002,100,0.9133610777799773,0.913,True,0.9694908266336838,0.969,True,results/published/EXP2/result/Retrain/ResNet34/ImageNet/metrics/GLEEP.json,results/published/EXP2/result/Retrain/ResNet34/ImageNet/test_ACC/GLEEP_ACC.json
